,sklearn,pytorch
0,0.5868434279969842,0.5583815028901734
1,0.5619587271737516,0.5432028504973524
2,0.5362987170176713,0.5026748971193415
3,0.567041015625,0.5367187499999999
4,0.5036557930258717,0.4804250012226733
5,0.5442595091717899,0.5227420402858999
6,0.5449667181169207,0.5521777927841018
7,0.5561925434116445,0.533644024514811
8,0.5840229312063808,0.5735917248255235
9,0.5181690500510725,0.49544177732379974
10,0.5445360458280355,0.5245614754658683
11,0.6162897954880877,0.5693522032468902
12,0.5903437418000524,0.5769614274468644
13,0.5866779198857366,0.5403233136401999
14,0.596031746031746,0.5949648711943795
15,0.5961721334529821,0.567121599721415
16,0.570585355619274,0.4989999300650394
17,0.5990551753376537,0.5598237538610623
18,0.5302803440586175,0.5461771264733991
19,0.5868740313184758,0.5618219229330341
20,0.595092278979747,0.5938895417156287
21,0.6577849459499087,0.6303000413206616
22,0.5847872340425533,0.5305851063829787
