,AUC/test,subject,session
0,0.5320339798927307,LTP093,0
1,0.5681362152099609,LTP093,1
2,0.5957522392272949,LTP093,2
3,0.5580538511276245,LTP093,3
4,0.5605720281600952,LTP093,4
5,0.4302734136581421,LTP093,5
6,0.555362343788147,LTP093,6
7,0.4855591952800751,LTP093,7
8,0.5883554816246033,LTP093,8
9,0.5956943035125732,LTP093,9
10,0.6295744180679321,LTP093,10
11,0.5308666229248047,LTP093,11
12,0.5867716670036316,LTP093,12
13,0.5527597069740295,LTP093,13
14,0.5873230695724487,LTP093,14
15,0.6057224273681641,LTP093,15
16,0.639072060585022,LTP093,16
17,0.5428138375282288,LTP093,17
18,0.49786096811294556,LTP093,18
19,0.5621399283409119,LTP093,19
20,0.5905478000640869,LTP093,20
21,,LTP093,21
22,0.6626755595207214,LTP093,22
23,0.5729740262031555,LTP093,23
