,Loss/test,AUC/test
0,0.6913415193557739,0.4636118710041046
1,0.6936471462249756,0.49234268069267273
2,0.6916195154190063,0.5360429286956787
3,0.692682147026062,0.49893391132354736
4,0.6900376081466675,0.5944842100143433
5,0.693459689617157,0.510937511920929
6,0.6930991411209106,0.47130435705184937
7,0.6950176358222961,0.45202556252479553
8,0.6941437721252441,0.5041879415512085
9,0.6885325312614441,0.5745605230331421
10,0.6925210356712341,0.5514893531799316
11,0.6919223070144653,0.5941577553749084
12,0.6973447799682617,0.5524569749832153
13,0.688622236251831,0.5679788589477539
14,0.6920979619026184,0.5489436388015747
15,0.6930119395256042,0.5062905550003052
16,0.6997718811035156,0.6214896440505981
17,0.6864728927612305,0.5135135054588318
18,0.6934049129486084,0.5433155298233032
19,0.6894350051879883,0.6051440238952637
20,0.6784498691558838,0.6292158961296082
21,0.6845356822013855,0.6410315632820129
22,0.6924040913581848,0.5175058841705322
